caseID	prot_aliquot	type	caseIDd	withProt	withRNA
C3L-01287-N	CPT0079430001	Normal	C3L-01287	TRUE	TRUE
C3L-00561-N	CPT0023360001	Normal	C3L-00561	TRUE	TRUE
C3L-01603-N	CPT0087050003	Normal	C3L-01603	TRUE	TRUE
C3N-00834-N	CPT0078840001	Normal	C3N-00834	TRUE	TRUE
C3N-01214-N	CPT0075570001	Normal	C3N-01214	TRUE	TRUE
C3N-01261-N	CPT0077500001	Normal	C3N-01261	TRUE	TRUE
C3L-00917-N	CPT0023710001	Normal	C3L-00917	TRUE	TRUE
C3L-00607-N	CPT0025060001	Normal	C3L-00607	TRUE	TRUE
C3N-00194-N	CPT0014130001	Normal	C3N-00194	TRUE	TRUE
C3L-00010-N	CPT0001230001	Normal	C3L-00010	TRUE	TRUE
C3L-01861-N	CPT0092310003	Normal	C3L-01861	TRUE	TRUE
C3N-01646-N	CPT0088500001	Normal	C3N-01646	TRUE	TRUE
C3L-01281-N	CPT0079510001	Normal	C3L-01281	TRUE	TRUE
C3N-00495-N	CPT0078530001	Normal	C3N-00495	TRUE	TRUE
C3N-00831-N	CPT0089040001	Normal	C3N-00831	TRUE	TRUE
C3L-00183-N	CPT0066430001	Normal	C3L-00183	TRUE	FALSE
C3N-00168-N	CPT0020020001	Normal	C3N-00168	TRUE	TRUE
C3L-00369-N	CPT0006530001	Normal	C3L-00369	TRUE	TRUE
C3L-00791-N	CPT0026420001	Normal	C3L-00791	TRUE	FALSE
C3L-00097-N	CPT0000790001	Normal	C3L-00097	TRUE	TRUE
C3L-00004-N	CPT0001550001	Normal	C3L-00004	TRUE	TRUE
C3N-00953-N	CPT0065450001	Normal	C3N-00953	TRUE	FALSE
C3N-00150-N	CPT0066520001	Normal	C3N-00150	TRUE	TRUE
C3N-00244-N	CPT0014350001	Normal	C3N-00244	TRUE	TRUE
C3N-01178-N	CPT0079000001	Normal	C3N-01178	TRUE	TRUE
C3L-00583-N	CPT0019160001	Normal	C3L-00583	TRUE	TRUE
C3L-00088-N	CPT0000890001	Normal	C3L-00088	TRUE	TRUE
C3L-00814-N	CPT0065820001	Normal	C3L-00814	TRUE	TRUE
C3L-01885-N	CPT0092800003	Normal	C3L-01885	TRUE	TRUE
C3L-00908-N	CPT0086370003	Normal	C3L-00908	TRUE	TRUE
C3L-00026-N	CPT0001510001	Normal	C3L-00026	TRUE	TRUE
C3L-00447-N	CPT0006950001	Normal	C3L-00447	TRUE	TRUE
C3L-00416-N	CPT0010120001	Normal	C3L-00416	TRUE	TRUE
C3N-00246-N	CPT0025610001	Normal	C3N-00246	TRUE	FALSE
C3N-00148-N	CPT0081620001	Normal	C3N-00148	TRUE	TRUE
C3N-00646-N	CPT0082010001	Normal	C3N-00646	TRUE	TRUE
C3L-00902-N	CPT0063330001	Normal	C3L-00902	TRUE	TRUE
C3L-00096-N	CPT0001190001	Normal	C3L-00096	TRUE	TRUE
C3L-01836-N	CPT0086890003	Normal	C3L-01836	TRUE	TRUE
C3N-00177-N	CPT0020130001	Normal	C3N-00177	TRUE	TRUE
C3N-01200-N	CPT0075170001	Normal	C3N-01200	TRUE	TRUE
C3L-00011-N	CPT0001350001	Normal	C3L-00011	TRUE	TRUE
C3N-01808-N	CPT0089480003	Normal	C3N-01808	TRUE	TRUE
C3N-01176-N	CPT0078940001	Normal	C3N-01176	TRUE	TRUE
C3L-00103-N	CPT0000660001	Normal	C3L-00103	TRUE	TRUE
C3N-01649-N	CPT0088640003	Normal	C3N-01649	TRUE	TRUE
C3N-00149-N	CPT0084590001	Normal	C3N-00149	TRUE	TRUE
C3L-00581-N	CPT0007470001	Normal	C3L-00581	TRUE	TRUE
C3L-01313-N	CPT0086830003	Normal	C3L-01313	TRUE	TRUE
C3N-00573-N	CPT0069010001	Normal	C3N-00573	TRUE	TRUE
C3L-01302-N	CPT0063640001	Normal	C3L-01302	TRUE	TRUE
C3N-01361-N	CPT0088780001	Normal	C3N-01361	TRUE	TRUE
C3N-01651-N	CPT0088710001	Normal	C3N-01651	TRUE	TRUE
C3L-00360-N	CPT0002370001	Normal	C3L-00360	TRUE	TRUE
C3L-00448-N	CPT0010170001	Normal	C3L-00448	TRUE	TRUE
C3L-00907-N	CPT0064400001	Normal	C3L-00907	TRUE	TRUE
C3L-01286-N	CPT0086970003	Normal	C3L-01286	TRUE	TRUE
C3L-01607-N	CPT0092190003	Normal	C3L-01607	TRUE	TRUE
C3N-01179-N	CPT0088920001	Normal	C3N-01179	TRUE	TRUE
C3L-00606-N	CPT0079300001	Normal	C3L-00606	TRUE	TRUE
C3N-01648-N	CPT0088570001	Normal	C3N-01648	TRUE	TRUE
C3N-00242-N	CPT0014470001	Normal	C3N-00242	TRUE	TRUE
C3L-00418-N	CPT0006730001	Normal	C3L-00418	TRUE	TRUE
C3N-00577-N	CPT0069190001	Normal	C3N-00577	TRUE	TRUE
C3L-01882-N	CPT0092740003	Normal	C3L-01882	TRUE	TRUE
C3N-00733-N	CPT0025920001	Normal	C3N-00733	TRUE	TRUE
C3L-00910-N	CPT0007870001	Normal	C3L-00910	TRUE	TRUE
C3L-00079-N	CPT0001270001	Normal	C3L-00079	TRUE	TRUE
C3N-01522-N	CPT0077140001	Normal	C3N-01522	TRUE	TRUE
C3N-01220-N	CPT0076350001	Normal	C3N-01220	TRUE	TRUE
C3N-00852-N	CPT0024680001	Normal	C3N-00852	TRUE	TRUE
C3N-00320-N	CPT0013790003	Normal	C3N-00320	TRUE	FALSE
C3N-00437-N	CPT0012570003	Normal	C3N-00437	TRUE	FALSE
C3N-00491-N	CPT0012640003	Normal	C3N-00491	TRUE	TRUE
C3N-00317-N	CPT0012290003	Normal	C3N-00317	TRUE	FALSE
C3N-00310-N	CPT0009020003	Normal	C3N-00310	TRUE	TRUE
C3N-00390-N	CPT0017450001	Normal	C3N-00390	TRUE	TRUE
C3N-00312-N	CPT0009080003	Normal	C3N-00312	TRUE	FALSE
C3N-00494-N	CPT0012920003	Normal	C3N-00494	TRUE	TRUE
C3N-01648-T	CPT0088550004	Tumor	C3N-01648	TRUE	TRUE
C3N-01214-T	CPT0075560003	Tumor	C3N-01214	TRUE	TRUE
C3N-00646-T	CPT0081990003	Tumor	C3N-00646	TRUE	TRUE
C3L-00766-T	CPT0025170003	Tumor	C3L-00766	TRUE	TRUE
C3L-00360-T	CPT0002350011	Tumor	C3L-00360	TRUE	TRUE
C3L-00790-T	CPT0065690003	Tumor	C3L-00790	TRUE	TRUE
C3N-00154-T	CPT0081880003	Tumor	C3N-00154	TRUE	TRUE
C3L-00765-T	CPT0015910003	Tumor	C3L-00765	TRUE	TRUE
C3N-00150-T	CPT0066480003	Tumor	C3N-00150	TRUE	TRUE
C3L-01283-T	CPT0079380003	Tumor	C3L-01283	TRUE	TRUE
C3N-00315-T	CPT0012180003	Tumor	C3N-00315	TRUE	TRUE
C3N-00177-T	CPT0020120003	Tumor	C3N-00177	TRUE	TRUE
C3L-00561-T	CPT0023350003	Tumor	C3L-00561	TRUE	TRUE
C3L-00800-T	CPT0025290003	Tumor	C3L-00800	TRUE	TRUE
