sample	class	batch	order
C3L-01287-N	Normal	1	1
C3L-00561-N	Normal	1	2
C3L-01603-N	Normal	1	3
C3N-00834-N	Normal	1	4
C3N-01214-N	Normal	1	5
C3N-01261-N	Normal	1	6
C3L-00917-N	Normal	1	7
C3L-00607-N	Normal	1	8
C3N-00194-N	Normal	1	9
C3L-00010-N	Normal	1	10
C3L-01861-N	Normal	1	11
C3N-01646-N	Normal	1	12
C3L-01281-N	Normal	1	13
C3N-00495-N	Normal	1	14
C3N-00831-N	Normal	1	15
C3L-00183-N	Normal	1	16
C3N-00168-N	Normal	1	17
C3L-00369-N	Normal	1	18
C3L-00791-N	Normal	1	19
C3L-00097-N	Normal	1	20
C3L-00004-N	Normal	1	21
C3N-00953-N	Normal	1	22
C3N-00150-N	Normal	1	23
C3N-00244-N	Normal	1	24
C3N-01178-N	Normal	1	25
C3L-00583-N	Normal	1	26
C3L-00088-N	Normal	1	27
C3L-00814-N	Normal	1	28
C3L-01885-N	Normal	1	29
C3L-00908-N	Normal	1	30
C3L-00026-N	Normal	1	31
C3L-00447-N	Normal	1	32
C3L-00416-N	Normal	1	33
C3N-00246-N	Normal	1	34
C3N-00148-N	Normal	1	35
C3N-00646-N	Normal	1	36
C3L-00902-N	Normal	1	37
C3L-00096-N	Normal	1	38
C3L-01836-N	Normal	1	39
C3N-00177-N	Normal	1	40
C3N-01200-N	Normal	1	41
C3L-00011-N	Normal	1	42
C3N-01808-N	Normal	1	43
C3N-01176-N	Normal	1	44
C3L-00103-N	Normal	1	45
C3N-01649-N	Normal	1	46
C3N-00149-N	Normal	1	47
C3L-00581-N	Normal	1	48
C3L-01313-N	Normal	1	49
C3N-00573-N	Normal	1	50
C3L-01302-N	Normal	1	51
C3N-01361-N	Normal	1	52
C3N-01651-N	Normal	1	53
C3L-00360-N	Normal	1	54
C3L-00448-N	Normal	1	55
C3L-00907-N	Normal	1	56
C3L-01286-N	Normal	1	57
C3L-01607-N	Normal	1	58
C3N-01179-N	Normal	1	59
C3L-00606-N	Normal	1	60
C3N-01648-N	Normal	1	61
C3N-00242-N	Normal	1	62
C3L-00418-N	Normal	1	63
C3N-00577-N	Normal	1	64
C3L-01882-N	Normal	1	65
C3N-00733-N	Normal	1	66
C3L-00910-N	Normal	1	67
C3L-00079-N	Normal	1	68
C3N-01522-N	Normal	1	69
C3N-01220-N	Normal	1	70
C3N-00852-N	Normal	1	71
C3N-00320-N	Normal	1	72
C3N-00437-N	Normal	1	73
C3N-00491-N	Normal	1	74
C3N-00317-N	Normal	1	75
C3N-00310-N	Normal	1	76
C3N-00390-N	Normal	1	77
C3N-00312-N	Normal	1	78
C3N-00494-N	Normal	1	79
C3N-01648-T	Tumor	1	80
C3N-01214-T	Tumor	1	81
C3N-00646-T	Tumor	1	82
C3L-00766-T	Tumor	1	83
C3L-00360-T	Tumor	1	84
C3L-00790-T	Tumor	1	85
C3N-00154-T	Tumor	1	86
C3L-00765-T	Tumor	1	87
C3N-00150-T	Tumor	1	88
C3L-01283-T	Tumor	1	89
C3N-00315-T	Tumor	1	90
C3N-00177-T	Tumor	1	91
C3L-00561-T	Tumor	1	92
C3L-00800-T	Tumor	1	93
C3L-01882-T	Tumor	1	94
C3N-00491-T	Tumor	1	95
C3N-00577-T	Tumor	1	96
C3L-00079-T	Tumor	1	97
C3N-01220-T	Tumor	1	98
C3L-01607-T	Tumor	1	99
C3N-00953-T	Tumor	1	100
C3N-00380-T	Tumor	1	101
C3N-00317-T	Tumor	1	102
C3N-00305-T	Tumor	1	103
C3N-00437-T	Tumor	1	104
C3N-01651-T	Tumor	1	105
C3L-00908-T	Tumor	1	106
C3L-00416-T	Tumor	1	107
C3N-00733-T	Tumor	1	108
C3L-00610-T	Tumor	1	109
C3N-01213-T	Tumor	1	110
C3N-01200-T	Tumor	1	111
C3N-01361-T	Tumor	1	112
C3L-00183-T	Tumor	1	113
C3L-01861-T	Tumor	1	114
C3L-00917-T	Tumor	1	115
C3L-00817-T	Tumor	1	116
C3L-00581-T	Tumor	1	117
C3L-00004-T	Tumor	1	118
C3N-01524-T	Tumor	1	119
C3L-01302-T	Tumor	1	120
C3L-01836-T	Tumor	1	121
C3N-00314-T	Tumor	1	122
C3L-01287-T	Tumor	1	123
C3N-00149-T	Tumor	1	124
C3N-00148-T	Tumor	1	125
C3N-00390-T	Tumor	1	126
C3L-01885-T	Tumor	1	127
C3N-00495-T	Tumor	1	128
C3N-01646-T	Tumor	1	129
C3L-00813-T	Tumor	1	130
C3L-00812-T	Tumor	1	131
C3N-00494-T	Tumor	1	132
C3N-00573-T	Tumor	1	133
C3L-01560-T	Tumor	1	134
C3N-01649-T	Tumor	1	135
C3L-00792-T	Tumor	1	136
C3N-01179-T	Tumor	1	137
C3N-00168-T	Tumor	1	138
C3L-00607-T	Tumor	1	139
C3L-00907-T	Tumor	1	140
C3N-01178-T	Tumor	1	141
C3L-00902-T	Tumor	1	142
C3N-00831-T	Tumor	1	143
C3L-00096-T	Tumor	1	144
C3N-00194-T	Tumor	1	145
C3L-00010-T	Tumor	1	146
C3N-00852-T	Tumor	1	147
C3N-01522-T	Tumor	1	148
C3L-01288-T	Tumor	1	149
C3L-00799-T	Tumor	1	150
C3L-00088-T	Tumor	1	151
C3L-00910-T	Tumor	1	152
C3N-01261-T	Tumor	1	153
C3L-00606-T	Tumor	1	154
C3L-01603-T	Tumor	1	155
C3L-01553-T	Tumor	1	156
C3L-01281-T	Tumor	1	157
C3N-00320-T	Tumor	1	158
C3L-01557-T	Tumor	1	159
C3L-01352-T	Tumor	1	160
C3N-01176-T	Tumor	1	161
C3N-00834-T	Tumor	1	162
C3L-00418-T	Tumor	1	163
C3L-00796-T	Tumor	1	164
C3L-00103-T	Tumor	1	165
C3L-00097-T	Tumor	1	166
C3N-00312-T	Tumor	1	167
C3L-00583-T	Tumor	1	168
C3L-00814-T	Tumor	1	169
C3L-01313-T	Tumor	1	170
C3L-00026-T	Tumor	1	171
C3L-00447-T	Tumor	1	172
C3L-00448-T	Tumor	1	173
C3N-01808-T	Tumor	1	174
C3L-00011-T	Tumor	1	175
C3N-00310-T	Tumor	1	176
C3N-00244-T	Tumor	1	177
C3L-00791-T	Tumor	1	178
C3L-01286-T	Tumor	1	179
C3N-00246-T	Tumor	1	180
C3N-00242-T	Tumor	1	181
C3L-00369-T	Tumor	1	182
