Entry	Entry name	Protein description	Gene name	Organism
A0A024RBG1	NUD4B_HUMAN	NUD4B_HUMAN Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	NUDT4B	Homo sapiens
A0A075B6H7	KV37_HUMAN	KV37_HUMAN Probable non-functional immunoglobulin kappa variable 3-7	IGKV3-7	Homo sapiens
A0A075B6H8	KVD42_HUMAN	KVD42_HUMAN Probable non-functional immunoglobulin kappa variable 1D-42	IGKV1D-42	Homo sapiens
A0A075B6H9	LV469_HUMAN	LV469_HUMAN Immunoglobulin lambda variable 4-69	IGLV4-69	Homo sapiens
A0A075B6I0	LV861_HUMAN	LV861_HUMAN Immunoglobulin lambda variable 8-61	IGLV8-61	Homo sapiens
A0A075B6I1	LV460_HUMAN	LV460_HUMAN Immunoglobulin lambda variable 4-60	IGLV4-60	Homo sapiens
A0A075B6I3	LVK55_HUMAN	LVK55_HUMAN Probable non-functional immunoglobulin lambda variable 11-55	IGLV11-55	Homo sapiens
A0A075B6I4	LVX54_HUMAN	LVX54_HUMAN Immunoglobulin lambda variable 10-54	IGLV10-54	Homo sapiens
A0A075B6I6	LV150_HUMAN	LV150_HUMAN Probable non-functional immunoglobulin lambda variable 1-50	IGLV1-50	Homo sapiens
A0A075B6I7	LV548_HUMAN	LV548_HUMAN Probable non-functional immunoglobulin lambda variable 5-48	IGLV5-48	Homo sapiens
A0A075B6I9	LV746_HUMAN	LV746_HUMAN Immunoglobulin lambda variable 7-46	IGLV7-46	Homo sapiens
A0A075B6J1	LV537_HUMAN	LV537_HUMAN Immunoglobulin lambda variable 5-37	IGLV5-37	Homo sapiens
A0A075B6J2	LV233_HUMAN	LV233_HUMAN Probable non-functional immunoglobulin lambda variable 2-33	IGLV2-33	Homo sapiens
A0A075B6J6	LV322_HUMAN	LV322_HUMAN Immunoglobulin lambda variable 3-22	IGLV3-22	Homo sapiens
A0A075B6J9	LV218_HUMAN	LV218_HUMAN Immunoglobulin lambda variable 2-18	IGLV2-18	Homo sapiens
A0A075B6K0	LV316_HUMAN	LV316_HUMAN Immunoglobulin lambda variable 3-16	IGLV3-16	Homo sapiens
A0A075B6K2	LV312_HUMAN	LV312_HUMAN Immunoglobulin lambda variable 3-12	IGLV3-12	Homo sapiens
A0A075B6K4	LV310_HUMAN	LV310_HUMAN Immunoglobulin lambda variable 3-10	IGLV3-10	Homo sapiens
A0A075B6K5	LV39_HUMAN	LV39_HUMAN Immunoglobulin lambda variable 3-9	IGLV3-9	Homo sapiens
A0A075B6K6	LV403_HUMAN	LV403_HUMAN Immunoglobulin lambda variable 4-3	IGLV4-3	Homo sapiens
A0A075B6L2	TVG11_HUMAN	TVG11_HUMAN Probable non-functional T cell receptor gamma variable 11	TRGV11	Homo sapiens
A0A075B6L6	TVB73_HUMAN	TVB73_HUMAN Probable non-functional T cell receptor beta variable 7-3	TRBV7-3	Homo sapiens
A0A075B6N1	TVB19_HUMAN	TVB19_HUMAN T cell receptor beta variable 19	TRBV19	Homo sapiens
A0A075B6N2	TVBT1_HUMAN	TVBT1_HUMAN T cell receptor beta variable 20-1	TRBV20-1	Homo sapiens
A0A075B6N3	TVBX1_HUMAN	TVBX1_HUMAN T cell receptor beta variable 24-1	TRBV24-1	Homo sapiens
A0A075B6N4	TVBY1_HUMAN	TVBY1_HUMAN T cell receptor beta variable 25-1	TRBV25-1	Homo sapiens
A0A075B6P5	KV228_HUMAN	KV228_HUMAN Immunoglobulin kappa variable 2-28	IGKV2-28	Homo sapiens
A0A075B6Q5	HV364_HUMAN	HV364_HUMAN Immunoglobulin heavy variable 3-64	IGHV3-64	Homo sapiens
A0A075B6R0	TRGV2_HUMAN	TRGV2_HUMAN T cell receptor gamma variable 2	TRGV2	Homo sapiens
A0A075B6R2	HV404_HUMAN	HV404_HUMAN Immunoglobulin heavy variable 4-4	IGHV4-4	Homo sapiens
A0A075B6R9	KVD24_HUMAN	KVD24_HUMAN Probable non-functional immunoglobulin kappa variable 2D-24	IGKV2D-24	Homo sapiens
A0A075B6S0	TRGJ1_HUMAN	TRGJ1_HUMAN T cell receptor gamma joining 1	TRGJ1	Homo sapiens
A0A075B6S2	KVD29_HUMAN	KVD29_HUMAN Immunoglobulin kappa variable 2D-29	IGKV2D-29	Homo sapiens
A0A075B6S4	KVD17_HUMAN	KVD17_HUMAN Immunoglobulin kappa variable 1D-17	IGKV1D-17	Homo sapiens
A0A075B6S5	KV127_HUMAN	KV127_HUMAN Immunoglobulin kappa variable 1-27	IGKV1-27	Homo sapiens
A0A075B6S6	KVD30_HUMAN	KVD30_HUMAN Immunoglobulin kappa variable 2D-30	IGKV2D-30	Homo sapiens
A0A075B6S9	KV137_HUMAN	KV137_HUMAN Probable non-functional immunoglobulinn kappa variable 1-37	IGKV1-37	Homo sapiens
A0A075B6T6	TVAL2_HUMAN	TVAL2_HUMAN T cell receptor alpha variable 12-2	TRAV12-2	Homo sapiens
A0A075B6T7	TVA6_HUMAN	TVA6_HUMAN T cell receptor alpha variable 6	TRAV6	Homo sapiens
A0A075B6T8	TVA91_HUMAN	TVA91_HUMAN T cell receptor alpha variable 9-1	TRAV9-1	Homo sapiens
A0A075B6U4	TVA7_HUMAN	TVA7_HUMAN T cell receptor alpha variable 7	TRAV7	Homo sapiens
A0A075B6V5	TVA36_HUMAN	TVA36_HUMAN T cell receptor alpha variable 36/delta variable 7	TRAV36DV7	Homo sapiens
A0A075B6W5	TVA23_HUMAN	TVA23_HUMAN T cell receptor alpha variable 23/delta variable 6	TRAV23DV6	Homo sapiens
A0A075B6X5	TVA18_HUMAN	TVA18_HUMAN T cell receptor alpha variable 18	TRAV18	Homo sapiens
A0A075B6Y3	TJA3_HUMAN	TJA3_HUMAN T cell receptor alpha joining 3	TRAJ3	Homo sapiens
A0A075B6Y9	TJA42_HUMAN	TJA42_HUMAN T cell receptor alpha joining 42	TRAJ42	Homo sapiens
A0A075B700	TJA31_HUMAN	TJA31_HUMAN T cell receptor alpha joining 31	TRAJ31	Homo sapiens
A0A075B706	TRDJ1_HUMAN	TRDJ1_HUMAN T cell receptor delta joining 1	TRDJ1	Homo sapiens
A0A075B759	PAL4E_HUMAN	PAL4E_HUMAN Peptidyl-prolyl cis-trans isomerase A-like 4E	PPIAL4E	Homo sapiens
A0A075B767	PAL4H_HUMAN	PAL4H_HUMAN Peptidyl-prolyl cis-trans isomerase A-like 4H	PPIAL4H	Homo sapiens
A0A087WSX0	LV545_HUMAN	LV545_HUMAN Immunoglobulin lambda variable 5-45	IGLV5-45	Homo sapiens
A0A087WSY4	HV432_HUMAN	HV432_HUMAN Immunoglobulin heavy variable 4-30-2	IGHV4-30-2	Homo sapiens
A0A087WSY6	KVD15_HUMAN	KVD15_HUMAN Immunoglobulin kappa variable 3D-15	IGKV3D-15	Homo sapiens
A0A087WSZ0	KVD08_HUMAN	KVD08_HUMAN Immunoglobulin kappa variable 1D-8	IGKV1D-8	Homo sapiens
A0A087WSZ9	TVA30_HUMAN	TVA30_HUMAN T cell receptor alpha variable 30	TRAV30	Homo sapiens
A0A087WT01	TVA27_HUMAN	TVA27_HUMAN T cell receptor alpha variable 27	TRAV27	Homo sapiens
A0A087WT02	TVA92_HUMAN	TVA92_HUMAN T cell receptor alpha variable 9-2	TRAV9-2	Homo sapiens
A0A087WT03	TVAZ1_HUMAN	TVAZ1_HUMAN T cell receptor alpha variable 26-1	TRAV26-1	Homo sapiens
A0A087WTH1	TM265_HUMAN	TM265_HUMAN Transmembrane protein 265	TMEM265	Homo sapiens
A0A087WTH5	KCE1B_HUMAN	KCE1B_HUMAN Putative potassium voltage-gated channel subfamily E member 1B	KCNE1B	Homo sapiens
A0A087WUL8	NBPFJ_HUMAN	NBPFJ_HUMAN Neuroblastoma breakpoint family member 19	NBPF19	Homo sapiens
A0A087WV53	SPEGN_HUMAN	SPEGN_HUMAN SPEG neighbor protein	SPEGNB	Homo sapiens
A0A087WV62	TVB16_HUMAN	TVB16_HUMAN T cell receptor beta variable 16	TRBV16	Homo sapiens
A0A087WVF3	TBC3D_HUMAN	TBC3D_HUMAN TBC1 domain family member 3D	TBC1D3D	Homo sapiens
A0A087WW87	KV240_HUMAN	KV240_HUMAN Immunoglobulin kappa variable 2-40	IGKV2-40	Homo sapiens
A0A087WWA1	P3URF_HUMAN	P3URF_HUMAN PIK3R3 upstream open reading frame protein	P3R3URF	Homo sapiens
A0A087WX78	ELB3C_HUMAN	ELB3C_HUMAN Putative elongin-A3 member C	ELOA3CP	Homo sapiens
A0A087WXM9	MEIKN_HUMAN	MEIKN_HUMAN Meiosis-specific kinetochore protein	MEIKIN	Homo sapiens
A0A087WXS9	TBC3I_HUMAN	TBC3I_HUMAN TBC1 domain family member 3I	TBC1D3I	Homo sapiens
A0A087X0K7	TVB17_HUMAN	TVB17_HUMAN Probable non-functional T cell receptor beta variable 17	TRBV17	Homo sapiens
A0A087X0M5	TVB18_HUMAN	TVB18_HUMAN T cell receptor beta variable 18	TRBV18	Homo sapiens
A0A087X179	TBC3E_HUMAN	TBC3E_HUMAN TBC1 domain family member 3E	TBC1D3E	Homo sapiens
A0A087X1C5	CP2D7_HUMAN	CP2D7_HUMAN Putative cytochrome P450 2D7	CYP2D7	Homo sapiens
A0A087X1G2	TBC3K_HUMAN	TBC3K_HUMAN TBC1 domain family member 3K	TBC1D3K	Homo sapiens
A0A096LNP1	D131B_HUMAN	D131B_HUMAN Beta-defensin 131B	DEFB131B	Homo sapiens
A0A096LP01	SIM26_HUMAN	SIM26_HUMAN Small integral membrane protein 26	SMIM26	Homo sapiens
A0A096LP49	CC187_HUMAN	CC187_HUMAN Coiled-coil domain-containing protein 187	CCDC187	Homo sapiens
A0A096LP55	QCR6L_HUMAN	QCR6L_HUMAN Cytochrome b-c1 complex subunit 6-like, mitochondrial	UQCRHL	Homo sapiens
A0A096LPI5	GVQW2_HUMAN	GVQW2_HUMAN Putative uncharacterized protein CCDC28A-AS1	CCDC28A-AS1	Homo sapiens
A0A096LPK9	ORN4C_HUMAN	ORN4C_HUMAN Olfactory receptor 4N4C	OR4N4C	Homo sapiens
A0A0A0MRZ7	KVD26_HUMAN	KVD26_HUMAN Immunoglobulin kappa variable 2D-26	IGKV2D-26	Homo sapiens
A0A0A0MRZ8	KVD11_HUMAN	KVD11_HUMAN Immunoglobulin kappa variable 3D-11	IGKV3D-11	Homo sapiens
A0A0A0MRZ9	LV552_HUMAN	LV552_HUMAN Immunoglobulin lambda variable 5-52	IGLV5-52	Homo sapiens
A0A0A0MS00	LV332_HUMAN	LV332_HUMAN Probable non-functional immunoglobulin lambda variable 3-32	IGLV3-32	Homo sapiens
A0A0A0MS01	TVG10_HUMAN	TVG10_HUMAN Probable non-functional T cell receptor gamma variable 10	TRGV10	Homo sapiens
A0A0A0MS02	TRGV1_HUMAN	TRGV1_HUMAN Probable non-functional T cell receptor gamma variable	TRGV1	Homo sapiens
A0A0A0MS03	TVB53_HUMAN	TVB53_HUMAN Probable non-functional T cell receptor beta variable 5-3	TRBV5-3	Homo sapiens
A0A0A0MS04	TVB67_HUMAN	TVB67_HUMAN Probable non-functional T cell receptor beta variable 6-7	TRBV6-7	Homo sapiens
A0A0A0MS05	TVB57_HUMAN	TVB57_HUMAN Probable non-functional T cell receptor beta variable 5-7	TRBV5-7	Homo sapiens
A0A0A0MS06	TVB23_HUMAN	TVB23_HUMAN Probable non-functional T cell receptor beta variable 23-1	TRBV23-1	Homo sapiens
A0A0A0MS14	HV145_HUMAN	HV145_HUMAN Immunoglobulin heavy variable 1-45	IGHV1-45	Homo sapiens
A0A0A0MS15	HV349_HUMAN	HV349_HUMAN Immunoglobulin heavy variable 3-49	IGHV3-49	Homo sapiens
A0A0A0MT36	KVD21_HUMAN	KVD21_HUMAN Immunoglobulin kappa variable 6D-21	IGKV6D-21	Homo sapiens
A0A0A0MT70	TJB26_HUMAN	TJB26_HUMAN T cell receptor beta joining 2-6	TRBJ2-6	Homo sapiens
A0A0A0MT76	LJ01_HUMAN	LJ01_HUMAN Immunoglobulin lambda joining 1	IGLJ1	Homo sapiens
A0A0A0MT78	TJB27_HUMAN	TJB27_HUMAN T cell receptor beta joining 2-7	TRBJ2-7	Homo sapiens
A0A0A0MT87	TJB24_HUMAN	TJB24_HUMAN T cell receptor beta joining 2-4	TRBJ2-4	Homo sapiens
A0A0A0MT89	KJ01_HUMAN	KJ01_HUMAN Immunoglobulin kappa joining 1	IGKJ1	Homo sapiens
A0A0A0MT94	TJB22_HUMAN	TJB22_HUMAN T cell receptor beta joining 2-2	TRBJ2-2	Homo sapiens
